0 0
0.001 1909680.16700517
0.002 3749137.52961947
0.003 5451138.37366785
0.004 6954288.60917307
0.005 8205612.48647482
0.006 9162736.91720664
0.007 9795575.03090342
0.008 10087424.3946277
0.009 10035422.5553416
0.01 9650334.69230136
0.011 8955684.09950495
0.012 7986274.20213075
0.013 6786188.40534601
0.014 5406388.26193405
0.015 3902057.9012042
0.016 2329860.16871191
0.017 745274.895505893
0.018 -799819.284214777
0.019 -2259180.96957746
0.02 -3593756.01173456
0.021 -4772680.70767295
0.022 -5773724.00681441
0.023 -6583199.55405991
0.024 -7195416.83523465
0.025 -7611768.82885184
0.026 -7839569.30280138
0.027 -7890755.98570758
0.028 -7780567.7466641
0.029 -7526287.33653237
0.03 -7146119.52021951
0.031 -6658250.92526253
0.032 -6080115.53044011
0.033 -5427870.50804702
0.034 -4716072.30005846
0.035 -3957532.69464576
0.036 -3163328.95104728
0.037 -2342939.93021405
0.038 -1504480.73556964
0.039 -655010.521106561
0.04 199109.061127219
0.041 1051824.60492565
0.042 1896988.71556239
0.043 2727961.6921458
0.044 3537234.31010411
0.045 4316090.35132151
0.046 5054329.91323834
0.047 5740077.36493665
0.048 6359700.43282899
0.049 6897868.42818762
0.05 7337777.07605229
0.051 7661563.73831507
0.052 7850929.13101272
0.053 7887969.32743643
0.054 7756204.87490647
0.055 7441772.95298637
0.056 6934725.27250533
0.057 6230351.3427485
0.058 5330426.97657845
0.059 4244274.88469639
0.06 2989521.0539511
0.061 1592439.50198278
0.062 87799.658319028
0.063 -1481836.0670659
0.064 -3067374.92281631
0.065 -4614980.65007295
0.066 -6068302.88028785
0.067 -7371027.75373061
0.068 -8469598.88704671
0.069 -9315941.30785474
0.07 -9870018.5694984
0.071 -10102064.3311636
0.072 -9994352.20500043
0.073 -9542398.68325329
0.074 -8755530.13702639
0.075 -7656782.99895025
0.076 -6282143.53286313
0.077 -4679167.92917971
0.078 -2905053.40974435
0.079 -1024255.7648546
